CO_IES;NO_IES;SGL_IES;CO_MANTENEDORA;CO_CATEGORIA_ADMINISTRATIVA;DS_CATEGORIA_ADMINISTRATIVA;CO_ORGANIZACAO_ACADEMICA;DS_ORGANIZACAO_ACADEMICA;CO_MUNICIPIO_IES;NO_MUNICIPIO_IES;CO_UF_IES;SGL_UF_IES;NO_REGIAO_IES;IN_CAPITAL_IES;QT_TEC_TOTAL;QT_TEC_FUND_INCOMP_FEM;QT_TEC_FUND_INCOMP_MASC;QT_TEC_FUND_COMP_FEM;QT_TEC_FUND_COMP_MASC;QT_TEC_MEDIO_FEM;QT_TEC_MEDIO_MASC;QT_TEC_SUPERIOR_FEM;QT_TEC_SUPERIOR_MASC;QT_TEC_ESPECIALIZACAO_FEM;QT_TEC_ESPECIALIZACAO_MASC;QT_TEC_MESTRADO_FEM;QT_TEC_MESTRADO_MASC;QT_TEC_DOUTORADO_FEM;QT_TEC_DOUTORADO_MASC;IN_ACESSO_PORTAL_CAPES;IN_ACESSO_OUTRAS_BASES;IN_REFERENTE;VL_RECEITA_PROPRIA;VL_TRANSFERENCIA;VL_OUTRA_RECEITA;VL_DES_PESSOAL_REM_DOCENTE;VL_DES_PESSOAL_REM_TECNICO;VL_DES_PESSOAL_ENCARGO;VL_DES_CUSTEIO;VL_DES_INVESTIMENTO;VL_DES_PESQUISA;VL_DES_OUTRAS
13476;FACULDADE SÃO BASÍLIO MAGNO;FASBAM;12541;5;Privada sem fins lucrativos;3;Faculdade;4106902;CURITIBA;41;PR;Sul;1;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;2;173039.6;25500;0;56656;46671.6;37701;16462.8;0;16335.8;14743.4
1645;FACULDADE DE TECNOLOGIA E CIÊNCIAS DE JEQUIÉ;FTC;1564;4;Privada com fins lucrativos;3;Faculdade;2918001;JEQUIE;29;BA;Nordeste;0;51;0;2;1;2;19;14;5;2;2;4;0;0;0;0;1;1;2;7736845;0;59799;1188043;940677;1464584;1340368;99711;0;73505
574;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;UFRRJ;9053;1;Pública Federal;1;Universidade;3305554;SEROPEDICA;33;RJ;Sudeste;0;1229;10;92;13;68;127;327;283;268;0;0;11;18;4;8;1;1;2;156120;440153639.8;0;158253645.2;78226517.2;59181730.4;68575366.8;16632306;752695.4;7367916.4
3602;FACULDADES INTEGRADAS DO BRASIL;FACBRASIL;963;4;Privada com fins lucrativos;3;Faculdade;4106902;CURITIBA;41;PR;Sul;1;345;40;19;26;16;101;62;47;18;10;5;0;1;0;0;1;0;1;50312714.4;1606998.8;1168306.8;13567758.4;4908454.6;5247116.6;13356431.4;2256342.6;1339144.2;3191040.4
2566;INSTITUTO DE ENSINO SUPERIOR DE OLINDA;IESO;1125;5;Privada sem fins lucrativos;3;Faculdade;2609600;OLINDA;26;PE;Nordeste;0;14;0;0;0;0;7;5;1;0;1;0;0;0;0;0;0;0;1;12093862.4;0;13373930.4;2503130.4;1764365.4;1837055.2;9906897.4;134317.6;0;6932.4
4983;FACULDADE DE SÃO JOSÉ DOS CAMPOS;BILAC;3082;4;Privada com fins lucrativos;3;Faculdade;3549904;SAO JOSE DOS CAMPOS;35;SP;Sudeste;0;187;0;1;1;1;73;46;30;25;4;3;1;1;0;1;1;0;1;80113193.6;0;1760251.4;11264479.6;9475696.4;8220743.6;0;11292814.6;0;21579769
2154;INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA;ISAT;1418;4;Privada com fins lucrativos;3;Faculdade;3304904;SAO GONCALO;33;RJ;Sudeste;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;503834;0;0;172780;18420;95140.8;0;0;0;0
2927;FACULDADE DEL REY;FDR;1899;4;Privada com fins lucrativos;3;Faculdade;3106200;BELO HORIZONTE;31;MG;Sudeste;1;10;2;0;1;1;0;0;1;2;2;1;0;0;0;0;0;1;1;1373458;0;0;439506.6;164815;109876.6;206018.8;82407.4;96142;41203.8
14717;FACULDADE MAURÍCIO DE NASSAU DE CARUARU;FMN Caruaru;1847;4;Privada com fins lucrativos;3;Faculdade;2604106;CARUARU;26;PE;Nordeste;0;69;0;0;0;1;9;10;4;7;11;11;6;6;2;2;1;0;2;2987000;0;42000;324000;395000;402000;706000;0;0;21000
3311;FACULDADE DE TECNOLOGIA SÃO FRANCISCO;FATESF;1503;4;Privada com fins lucrativos;3;Faculdade;3200904;BARRA DE SAO FRANCISCO;32;ES;Sudeste;0;40;0;0;0;2;2;2;0;1;11;7;3;10;0;2;1;1;1;2558800.6;0;0;101623.2;110724.8;139763.6;801066.2;0;0;1014541.8
