co_ies;IGC_FAIXA
1;4
2;4
3;4
4;3
5;3
6;4
7;5
8;5
9;4
10;3
11;3
12;4
13;4
14;4
15;3
17;4
18;4
19;3
20;4
21;4
22;3
23;4
24;4
27;3
29;3
30;3
32;3
38;3
40;3
43;4
47;3
54;5
56;4
57;4
71;3
76;3
81;3
82;3
83;4
95;3
107;4
137;4
140;3
143;3
150;3
163;3
165;4
167;3
176;3
203;3
208;4
215;3
221;4
227;4
240;2
264;SC
266;3
271;4
275;3
295;4
296;3
298;3
308;3
316;4
319;3
322;4
330;3
338;3
355;3
367;4
375;3
383;3
385;3
387;3
398;3
403;3
409;3
417;3
420;4
423;3
437;3
441;3
446;3
449;3
457;3
458;3
466;3
472;3
481;3
482;3
494;3
496;3
513;3
519;3
521;3
526;3
527;3
528;4
532;4
546;4
547;4
548;3
549;3
550;3
555;3
568;3
569;4
570;4
571;4
572;4
573;4
574;4
575;5
576;4
577;3
578;4
579;4
580;4
581;5
582;4
583;4
584;4
585;5
586;4
587;4
588;4
589;4
590;3
591;5
592;5
595;4
596;4
597;4
598;4
599;3
600;3
601;4
605;3
609;4
634;4
663;3
664;3
665;3
666;3
669;3
670;3
671;3
688;3
693;4
694;4
699;3
717;4
718;3
719;3
730;4
746;3
756;3
780;4
789;3
823;3
829;2
830;3
952;4
953;3
1027;4
1028;3
1036;3
1042;4
1082;4
1120;3
1126;4
1128;3
1153;2
1166;4
1189;3
1303;4
1557;3
1578;4
1586;3
1807;3
1808;4
1809;3
1810;4
1811;4
1812;3
1813;2
1820;3
2564;4
3151;3
3160;3
3161;3
3162;4
3163;3
3164;4
3165;4
3172;3
3183;3
3184;3
3188;3
3189;4
3279;3
3336;4
3849;3
3974;3
3984;4
4098;3
4358;4
4503;4
4504;4
4785;3
4786;4
4925;5
5036;SC
5077;3
5242;SC
5322;4
5701;3
14509;SC
14724;3
15015;3
15032;3
15059;2
15121;SC
15497;SC
15507;2
15520;SC
18440;SC
18759;3
